"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Portland #IT #Job: Senior Technical Account Manager - Portland, OR at VMware http://t.co/yFZU1s0ReX #Jobs #Hiring",FALSE,0,NA,2015-05-07 23:50:31,FALSE,NA,"596462142083059712",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VMwareJobs",0,FALSE,FALSE,"-122.6757228","45.5220648"
"2","Attn Portland friends. @JetBlue is currently running round trip tickets to Anchorage for $175. COME VISIT ME. @sophia_jada @jenna_yuille",FALSE,1,NA,2015-05-07 23:47:46,FALSE,NA,"596461453030215680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaynaArts",0,FALSE,FALSE,"-122.68641303","45.51552294"
"3","Welder/Fitter - Aerotek: (#Portland, OR) http://t.co/ZHEzPRgnzH #SkilledTrade #Job #Jobs #Hiring",FALSE,0,NA,2015-05-07 23:43:57,FALSE,NA,"596460490609405953",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_PDX_skltrd",0,FALSE,FALSE,"-122.6762071","45.5234515"
"4","I'm at Portland Aerial Tram - Upper Terminal in Portland, OR https://t.co/gwkAq8yPYN",FALSE,2,NA,2015-05-07 23:24:53,FALSE,NA,"596455693932175360",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","himynameisbora",0,FALSE,FALSE,"-122.68412232","45.49947403"
"5","Spotted at the site of #DNC fundraiser tonight...New kind of donor? #llamadrama #portland @ Sentinel https://t.co/J1xYfg9nGC",FALSE,0,NA,2015-05-07 23:14:53,FALSE,NA,"596453178247421952",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","VivianBKim",0,FALSE,FALSE,"-122.68252903","45.52067771"
"6","#FamilyPractice #Job in #Portland, OR: Family Practice Physician job opportunity in... at Soliant Health http://t.co/7rIDdhNRsh #Jobs",FALSE,0,NA,2015-05-07 23:09:58,FALSE,NA,"596451938033504256",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_MDs",0,FALSE,FALSE,"-122.6762071","45.5234515"
"7","Well, looks like I'm starting drinking now. (@ TILT -  PEARL DISTRICT - @tiltitup in Portland, OR) https://t.co/abKqJoxwlz",FALSE,0,NA,2015-05-07 23:08:13,FALSE,NA,"596451499649138690",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","WarmongerSmurf",0,FALSE,FALSE,"-122.68416719","45.52517789"
"8","I'm at The Labyrinth at Mount Tabor in Portland, OR https://t.co/7hyFPCHySs",FALSE,0,NA,2015-05-07 23:03:16,FALSE,NA,"596450251940208640",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","SkyVipGrady",0,FALSE,FALSE,"-122.607651","45.51685"
"9","Had to visit again! (@ Vedanta Society of Portland in Portland, OR) https://t.co/RX2bAODOET",FALSE,0,NA,2015-05-07 22:45:37,FALSE,NA,"596445811636056064",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","SkyVipGrady",0,FALSE,FALSE,"-122.607371","45.514302"
"10","#Sales #Job in #Portland, OR: Applications Sales Representative IV at Oracle http://t.co/BJaLJ2UdA1 #Jobs #Hiring",FALSE,0,NA,2015-05-07 22:40:54,FALSE,NA,"596444622273978368",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","JobsAtOracle",0,FALSE,FALSE,"-122.6762071","45.5234515"
"11","Experimenting with transparent materials. @ The Art Institute of Portland https://t.co/KxHZSHGYaW",FALSE,1,NA,2015-05-07 22:39:16,FALSE,NA,"596444211806871552",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","killahouston",0,FALSE,FALSE,"-122.67800475","45.52455618"
"12","Data Entry Clerk - Altiera Inc -  Portland, OR: G2UIIXml850y4ZUfk8 entry level. We acquire customers for our c... http://t.co/LwBvr4UoOK",FALSE,0,NA,2015-05-07 22:38:38,FALSE,NA,"596444055300509696",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","supra1Bqteam",0,FALSE,FALSE,"-122.67583","45.521976"
"13","Quality Visual Inspector - Aerotek: (#Portland, OR) http://t.co/N4MnZhiPKT #SkilledTrade #Job #Jobs #Hiring",FALSE,0,NA,2015-05-07 22:38:35,FALSE,NA,"596444039936741376",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_PDX_skltrd",0,FALSE,FALSE,"-122.6762071","45.5234515"
"14","2015.May.07 Pretty day at pick up today. #olesfacts #pdx #laurelhurst #oregon #portland @ Laurelhurst… https://t.co/b71Mo9t6N8",FALSE,0,NA,2015-05-07 21:54:37,FALSE,NA,"596432975971143681",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","janiceordal",0,FALSE,FALSE,"-122.62598976","45.52089379"
"15","This about summarizes my office, and 40+ hours of my week. Super nerdy, and so much fun. @ Portland… https://t.co/upiIBABdQj",FALSE,0,NA,2015-05-07 21:41:46,FALSE,NA,"596429741529427968",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nathanialjg",0,FALSE,FALSE,"-122.68527778","45.51277778"
"16","Sharing the big chair with theamyrush @ Portland State University https://t.co/68vfcaVG2u",FALSE,0,NA,2015-05-07 21:39:55,FALSE,NA,"596429276142039040",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","meg_aul",0,FALSE,FALSE,"-122.68415887","45.51165102"
"17","#Sales #Job in #Portland, OR: Consulting Sales Rep 4 at Oracle http://t.co/amrv4qsEbc #Jobs #Hiring",FALSE,0,NA,2015-05-07 21:31:44,FALSE,NA,"596427219427135488",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","JobsAtOracle",0,FALSE,FALSE,"-122.6762071","45.5234515"
"18","Saving lives. (@ Talecris in Portland, OR) https://t.co/mliK1PNBZm",FALSE,1,NA,2015-05-07 21:06:38,FALSE,NA,"596420900276273152",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","the1andonlytrav",0,FALSE,FALSE,"-122.55918733","45.51971201"
"19","Supervisory, Dental Assistant - Department of Veterans Affairs: (#Portland, OR) http://t.co/8opRJFkhMo #Healthcare #VeteranJob #Job #Jobs",FALSE,0,NA,2015-05-07 20:58:41,FALSE,NA,"596418902281691136",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","JobsatVA",0,FALSE,FALSE,"-122.6762071","45.5234515"
"20","We did it!!!! 250,000 hits!!!! How cool is that!!!! #250000 #hits #riffing #MST3K #Portland #PDX… https://t.co/mp6jGAvcJE",FALSE,1,NA,2015-05-07 20:56:59,FALSE,NA,"596418473930133504",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SharkbiteImprov",1,FALSE,FALSE,"-122.683563","45.513153"
"21","Aerotek: Welder (#Portland, OR) http://t.co/EXu8wFHPDw #SkilledTrade #Job #Jobs #Hiring",FALSE,0,NA,2015-05-07 20:27:49,FALSE,NA,"596411134791450625",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_PDX_skltrd",0,FALSE,FALSE,"-122.6762071","45.5234515"
