"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @sambakall: Be nice. #latergram #oysters #ham #foiegras #vsco #vscocam #Portland #pdxeats @ Trifecta https://t.co/wVtopJViKo",FALSE,0,NA,2015-05-06 23:54:55,FALSE,NA,"596100863132766208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trifectatavern",1,TRUE,FALSE,NA,NA
"2","RT @TotalTrafficPOR: Accident reported in #Portland on I-205 NB at NE Glisan St #PDXtraffic http://t.co/cq6BNINZFe",FALSE,0,NA,2015-05-06 23:52:53,FALSE,NA,"596100350433697792",NA,"<a href=""http://www.TheHighwayMonitor.com"" rel=""nofollow"">(OR) I-5 Updates</a>","ORI5thm",1,TRUE,FALSE,NA,NA
"3","I'm at @RGA Portland in Portland, OR https://t.co/w6zcWeTbh5 http://t.co/ralo3Hsal7",FALSE,0,NA,2015-05-06 23:49:44,FALSE,NA,"596099556909121537",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Lowernashotah",0,FALSE,FALSE,"-122.68485417","45.52629538"
"4","A day in May at my sister's house. @ Portland, Oregon https://t.co/KylCMaINO5",FALSE,0,NA,2015-05-06 23:48:48,FALSE,NA,"596099324926373888",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mikeyno",0,FALSE,FALSE,"-122.682","45.52"
"5","Ace Parking Management: Site Manager-Commercial (#Portland, OR) http://t.co/vQWYiHTHZD #BusinessMgmt #Job #Jobs #Hiring #TweetMyJobs",FALSE,0,NA,2015-05-06 23:47:25,FALSE,NA,"596098975372947456",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","JoinAceParking",0,FALSE,FALSE,"-122.6762071","45.5234515"
"6","Shut up, Flanders. #Portland #Streets #TheSimpsons #MattGroenig #signs Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ΩÌ±åÌ†ºÌøº @ Downtown, Portland,‚Ä¶ https://t.co/qLZLh35mLU",FALSE,0,NA,2015-05-06 23:44:43,FALSE,NA,"596098296256532481",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bon_hendo",0,FALSE,FALSE,"-122.67941174","45.51906124"
"7","RT @watupromps: DEN ‚û°Ô∏è PDX Ì†ºÌΩ©Ì†ºÌΩ©Ì†ºÌΩ© #voodoodoughnuts #Portland #donuts #oreopeanutbutter @ Voodoo Doughnut https://t.co/nUdf6Lz0JJ",FALSE,0,NA,2015-05-06 23:38:06,FALSE,NA,"596096632535396352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","albertideation",1,TRUE,FALSE,NA,NA
"8","Office Support Specialist 2 - LifeWorks NW -  Portland, OR: Performs reception duties, answering phones (on mu... http://t.co/qKDw3mE2xN",FALSE,0,NA,2015-05-06 23:37:48,FALSE,NA,"596096556085817344",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","supra1Bqteam",0,FALSE,FALSE,"-122.67583","45.521976"
"9","#birthday #beers with a #friend. #portland #springday @ Bailey's Taproom https://t.co/PV68DmCS1D",FALSE,0,NA,2015-05-06 23:35:07,FALSE,NA,"596095882166173697",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","farleftlane",0,FALSE,FALSE,"-122.67789131","45.52249352"
"10","#Portland, OR #Healthcare #Job: Occupational therapy assistant position in Portland, OR at Soliant Health http://t.co/wHTuFsP4kN #Jobs",FALSE,0,NA,2015-05-06 23:34:46,FALSE,NA,"596095794429571072",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-122.6762071","45.5234515"
